Timestamp,ADC_Value,Voltage_mV
2026-07-27 14:26:45.380,340,1661.779
2026-07-27 14:26:45.381,336,1642.229
2026-07-27 14:26:45.411,333,1627.566
2026-07-27 14:26:45.411,332,1622.678
2026-07-27 14:26:45.411,332,1622.678
2026-07-27 14:26:45.412,329,1608.016
2026-07-27 14:26:45.412,325,1588.465
2026-07-27 14:26:45.412,326,1593.353
2026-07-27 14:26:45.442,328,1603.128
2026-07-27 14:26:45.442,328,1603.128
2026-07-27 14:26:45.442,328,1603.128
2026-07-27 14:26:45.442,328,1603.128
2026-07-27 14:26:45.442,329,1608.016
2026-07-27 14:26:45.476,332,1622.678
2026-07-27 14:26:45.476,342,1671.554
2026-07-27 14:26:45.476,369,1803.519
2026-07-27 14:26:45.477,423,2067.449
2026-07-27 14:26:45.477,501,2448.68
2026-07-27 14:26:45.477,542,2649.071
2026-07-27 14:26:45.477,454,2218.964
2026-07-27 14:26:45.487,316,1544.477
2026-07-27 14:26:45.519,211,1031.281
2026-07-27 14:26:45.521,210,1026.393
2026-07-27 14:26:45.521,276,1348.974
2026-07-27 14:26:45.521,315,1539.589
2026-07-27 14:26:45.522,331,1617.791
2026-07-27 14:26:45.522,346,1691.105
2026-07-27 14:26:45.522,355,1735.093
2026-07-27 14:26:45.522,349,1705.767
2026-07-27 14:26:45.550,341,1666.667
2026-07-27 14:26:45.552,338,1652.004
2026-07-27 14:26:45.552,339,1656.891
2026-07-27 14:26:45.552,340,1661.779
2026-07-27 14:26:45.552,341,1666.667
2026-07-27 14:26:45.554,344,1681.329
2026-07-27 14:26:45.559,345,1686.217
2026-07-27 14:26:45.563,343,1676.442
2026-07-27 14:26:45.597,341,1666.667
2026-07-27 14:26:45.597,343,1676.442
2026-07-27 14:26:45.597,347,1695.992
2026-07-27 14:26:45.597,350,1710.655
2026-07-27 14:26:45.597,351,1715.543
2026-07-27 14:26:45.597,353,1725.318
2026-07-27 14:26:45.600,353,1725.318
2026-07-27 14:26:45.627,355,1735.093
2026-07-27 14:26:45.627,356,1739.98
2026-07-27 14:26:45.627,359,1754.643
2026-07-27 14:26:45.627,361,1764.418
2026-07-27 14:26:45.627,364,1779.081
2026-07-27 14:26:45.659,370,1808.407
